출국자국가,국가코드,출국년월,출국자 수
한국,100,201901,2912331
한국,100,201902,2617946
한국,100,201903,2334153
한국,100,201904,2246417
한국,100,201905,2401204
한국,100,201906,2495798
한국,100,201907,2642585
한국,100,201908,2427634
한국,100,201909,2049830
한국,100,201910,2153847
한국,100,201911,2090192
한국,100,201912,2342310
한국,100,202001,2513030
한국,100,202002,1046779
한국,100,202003,143366
한국,100,202004,31425
한국,100,202005,37802
한국,100,202006,48353
한국,100,202007,65936
한국,100,202008,88888
한국,100,202009,76798
한국,100,202010,71970
한국,100,202011,70686
한국,100,202012,80973
